venta_id,fecha_venta,sucursal,ciudad,region,plataforma,videojuego,categoria,precio,unidades,metodo_pago,satisfaccion,comentarios,codigo_interno,usuario_captura
VJ-00032,2026-05-01,Sucursal Sur,Guadalajara,Centro,Xbox,Mario Kart,DEPORTES,599,3, transferencia ,MEDIA,,INT-4485,capturista2
VJ-00103,2026-06-14,sucursal norte,monterrey , centro , playstation ,Minecraft,estrategia ,1199,4,,muy alta,promoción,INT-7671,capturista2
VJ-00567,2026-03-03,SUCURSAL CENTRO,Guadalajara,Centro,Nintendo,Call of Duty, aventura ,999,1,tarjeta,muy alta,,INT-1718,capturista2
VJ-00423,2026-05-13,Sucursal Norte,GUADALAJARA,Occidente,xbox,Halo,DEPORTES,,2,Tarjeta,MEDIA,sin comentario,INT-3922,capturista1
VJ-00032,2026-05-01,Sucursal Sur,Guadalajara,Centro,Xbox,Mario Kart,DEPORTES,599,3, transferencia ,MEDIA,,INT-4485,capturista2
VJ-00014,2026-06-05,sucursal norte, Ciudad de México ,norte , XBOX ,Fortnite,Acción,599,3, transferencia ,baja,cliente frecuente,INT-3004,capturista2
VJ-00551,2026-06-02,sucursal centro ,monterrey ,occidente, playstation ,Mario Kart,Accion,799,3,,,cliente frecuente,INT-7977,capturista2
VJ-00322,2026-04-30,Sucursal Centro,Monterrey,Norte,NINTENDO,Fortnite, aventura ,999,1,,MEDIA,,INT-9505,admin
VJ-00007,2026-01-31,Sucursal Sur,CDMX,occidente,NINTENDO,FIFA,estrategia ,599,2,Tarjeta,MEDIA,revisar captura,INT-5762,admin
VJ-00311,2026-04-01,,Monterrey, centro ,Nintendo,Spider-Man, aventura ,799,1,tarjeta,Alta,promoción,INT-6084,capturista2
VJ-00559,2026-03-21,Sucursal Centro,CIUDAD DE MÉXICO,Centro,xbox,Call of Duty,Aventura,599,1,Tarjeta,Muy Alta,cliente frecuente,INT-9150,usuario_tmp
VJ-00191,2026-04-11,SUCURSAL CENTRO,,occidente, pc ,Mario Kart,Aventura,1199,,TARJETA,baja,cliente frecuente,INT-1855,usuario_tmp
VJ-00422,2026-04-27,Sucursal Centro,CIUDAD DE MÉXICO,CENTRO,NINTENDO,Halo,Estrategia,1799,2,efectivo ,Media,promoción,INT-6573,capturista2
VJ-00080,2026-02-13,SUCURSAL CENTRO,CDMX,occidente,,Mario Kart,Deportes,1499,3,tarjeta,Muy Alta,promoción,INT-1410,capturista1
VJ-00471,2026-05-28,sucursal centro ,GUADALAJARA,CENTRO,xbox,Zelda,DEPORTES,0,1,Transferencia,Media,,INT-7002,capturista1
VJ-00668,2026-05-30,sucursal centro ,GUADALAJARA,norte ,,Zelda,DEPORTES,599,2,Transferencia,Muy Alta,cliente frecuente,INT-5841,capturista1
VJ-00030,2026-04-04,sucursal norte,ciudad de mexico, centro , pc ,Zelda, aventura ,0,2,tarjeta,MEDIA,revisar captura,INT-6843,capturista1
VJ-00204,2026-04-02,SUCURSAL CENTRO,monterrey ,Occidente, nintendo ,God of War,DEPORTES,,4,tarjeta,Alta,promoción,INT-6072,usuario_tmp
VJ-00221,2026-03-28,sucursal centro ,CIUDAD DE MÉXICO, centro ,Xbox,Halo,Estrategia,1499,2,Transferencia,muy alta,,INT-2831,admin
VJ-00016,2026-04-17,sucursal centro ,CDMX,occidente,Nintendo,FIFA,Aventura,0,4,,,cliente frecuente,INT-6156,capturista1
VJ-00131,2026-02-10,SUCURSAL CENTRO,CIUDAD DE MÉXICO,Centro, nintendo ,Minecraft, aventura ,,1,Tarjeta,Muy Alta,sin comentario,INT-1523,admin
VJ-00147,2026-06-18,Sucursal Centro, Ciudad de México ,Occidente,PlayStation,FIFA,DEPORTES,,2,Transferencia,muy alta,promoción,INT-7984,usuario_tmp
VJ-00420,2026-06-14,Sucursal Centro,CDMX,norte ,PLAYSTATION,God of War,estrategia ,0,1, transferencia ,Media,cliente frecuente,INT-2737,capturista1
VJ-00599,2026-03-13,Sucursal Norte, Ciudad de México ,occidente,Nintendo,Call of Duty,ACCION,1799,1,Tarjeta,alta ,sin comentario,INT-6374,admin
VJ-00576,2026-01-03,,CDMX, centro ,NINTENDO,Minecraft,estrategia ,1499,,,,cliente frecuente,INT-1408,capturista1
VJ-00188,2026-05-09,Sucursal Sur,monterrey ,Centro,PlayStation,God of War,Accion,1799,,Transferencia,baja,,INT-9467,capturista1
VJ-00107,2026-02-27,Sucursal Centro,CDMX,Occidente, nintendo ,Call of Duty,Accion,999,2,tarjeta,Media,sin comentario,INT-9385,capturista1
VJ-00337,2026-01-20,sucursal centro ,CDMX,norte ,Xbox,Fortnite,Aventura,999,4,efectivo ,Media,revisar captura,INT-5541,capturista2
VJ-00404,2026-04-05,SUCURSAL CENTRO,Monterrey, centro , pc ,God of War, aventura ,999,,TARJETA,,promoción,INT-2672,capturista1
VJ-00557,2026-04-22,Sucursal Sur,ciudad de mexico,norte ,NINTENDO,Halo,Deportes,,1,,,promoción,INT-9912,capturista2
VJ-00160,2026-06-22,SUCURSAL CENTRO,CIUDAD DE MÉXICO,occidente,Xbox,FIFA,DEPORTES,0,3,Tarjeta,Muy Alta,revisar captura,INT-7313,admin
VJ-00132,2026-02-11,Sucursal Norte, Ciudad de México ,Centro,xbox,Call of Duty,ACCION,799,1,TARJETA,Alta,sin comentario,INT-2466,capturista2
VJ-00574,2026-06-18,Sucursal Sur,GUADALAJARA,norte ,PlayStation,Pokemon,estrategia ,0,1,Transferencia,Muy Alta,promoción,INT-6403,capturista1
VJ-00450,2026-01-24,Sucursal Centro,CDMX,Occidente,PLAYSTATION,God of War,Accion,999,1, transferencia ,MEDIA,cliente frecuente,INT-8819,admin
VJ-00033,2026-02-10,Sucursal Sur,Guadalajara,Occidente, nintendo ,Mario Kart,Aventura,0,,Tarjeta,alta ,revisar captura,INT-3589,admin
VJ-00044,2026-05-17,sucursal centro , Ciudad de México ,Occidente, playstation ,Spider-Man,Estrategia,599,3,efectivo ,Alta,cliente frecuente,INT-3418,usuario_tmp
VJ-00109,2026-06-12,Sucursal Sur,Monterrey,norte ,xbox,Fortnite,Acción,999,1,TARJETA,,cliente frecuente,INT-3395,usuario_tmp
VJ-00177,2026-05-08,Sucursal Norte,monterrey ,CENTRO,NINTENDO,Halo,Estrategia,,2,,Media,cliente frecuente,INT-9293,admin
VJ-00236,2026-01-15,sucursal norte,CDMX, centro ,xbox,Zelda,Aventura,1499,,tarjeta,muy alta,sin comentario,INT-1569,usuario_tmp
VJ-00087,2026-05-27,Sucursal Centro,monterrey ,Centro, nintendo ,FIFA,Acción,1799,,,alta ,,INT-3372,capturista2
VJ-00038,2026-05-16,Sucursal Centro,ciudad de mexico,norte , XBOX ,Pokemon,Acción,599,2,Transferencia,,revisar captura,INT-3001,capturista2
VJ-00253,2026-06-22,sucursal norte,CIUDAD DE MÉXICO,Centro, playstation ,Fortnite,Estrategia,1199,1,Transferencia,Muy Alta,revisar captura,INT-8339,capturista2
VJ-00193,2026-02-05,Sucursal Centro,monterrey ,Centro,NINTENDO,Mario Kart,Deportes,,2,Efectivo,Baja ,sin comentario,INT-9176,admin
VJ-00578,2026-06-07,sucursal norte,GUADALAJARA,Norte,PLAYSTATION,God of War,Aventura,1799,4,tarjeta,Muy Alta,sin comentario,INT-1489,capturista1
VJ-00638,2026-06-20,sucursal norte, Ciudad de México ,norte , playstation ,Fortnite,DEPORTES,,,Efectivo,MEDIA,,INT-7568,capturista2
VJ-00151,2026-06-07,Sucursal Centro,monterrey ,CENTRO, playstation ,Halo,ACCION,1799,1,efectivo ,baja,sin comentario,INT-4839,capturista2
VJ-00041,2026-05-01,sucursal norte,CIUDAD DE MÉXICO,Centro,Xbox,God of War,Accion,1499,1,,Muy Alta,sin comentario,INT-8227,capturista1
VJ-00533,2026-02-26,sucursal centro ,CDMX, centro , nintendo ,Zelda,Accion,,, transferencia ,baja,cliente frecuente,INT-1591,usuario_tmp
VJ-00620,2026-03-02,sucursal norte,GUADALAJARA,norte ,Nintendo,FIFA,Accion,,,,baja,,INT-8514,capturista1
VJ-00338,2026-01-19,sucursal norte,ciudad de mexico,Occidente,PLAYSTATION,Call of Duty,ACCION,1499,1,,baja,revisar captura,INT-7777,capturista2
VJ-00644,2026-03-26,Sucursal Sur,CIUDAD DE MÉXICO,occidente,xbox,Pokemon,Aventura,1199,2,efectivo ,Baja ,,INT-6920,capturista2
VJ-00029,2026-03-23,sucursal centro ,Monterrey,occidente,PlayStation,Call of Duty,DEPORTES,1799,1,TARJETA,baja,,INT-3239,capturista2
VJ-00633,2026-04-21,SUCURSAL CENTRO,CIUDAD DE MÉXICO,CENTRO,PLAYSTATION,Halo,Accion,1799,,tarjeta,Baja ,promoción,INT-6068,usuario_tmp
VJ-00251,2026-05-24,sucursal norte,CIUDAD DE MÉXICO,occidente,,Call of Duty,Aventura,999,4,Tarjeta,MEDIA,sin comentario,INT-5081,capturista1
VJ-00181,2026-06-19,Sucursal Sur,ciudad de mexico,Norte,Nintendo,FIFA,ACCION,1799,,,MEDIA,revisar captura,INT-6595,capturista2
VJ-00102,2026-05-05,sucursal norte,Monterrey,Centro,NINTENDO,Fortnite,Deportes,0,,,,cliente frecuente,INT-6889,capturista2
VJ-00481,2026-05-14,SUCURSAL CENTRO,ciudad de mexico,norte , XBOX ,Halo,Aventura,,,TARJETA,Media,cliente frecuente,INT-6689,capturista2
VJ-00283,2026-02-17,SUCURSAL CENTRO,GUADALAJARA,Occidente,Nintendo,Fortnite,Acción,0,2,Tarjeta,,sin comentario,INT-6711,capturista2
VJ-00630,2026-01-05,SUCURSAL CENTRO,Guadalajara, centro ,xbox,Minecraft,Aventura,599,3,TARJETA,Alta,promoción,INT-1618,capturista1
VJ-00025,2026-04-19,Sucursal Sur,Guadalajara,CENTRO,PC,Halo,Estrategia,1799,1,,Alta,sin comentario,INT-5401,capturista2
VJ-00299,2026-04-10,Sucursal Sur,CDMX,CENTRO, nintendo ,Mario Kart, aventura ,1199,,,alta ,promoción,INT-6005,admin
VJ-00491,2026-03-07,Sucursal Sur,monterrey ,occidente, XBOX ,Fortnite, aventura ,,2,tarjeta,muy alta,,INT-7813,usuario_tmp
VJ-00010,2026-05-04,sucursal norte,ciudad de mexico,norte , XBOX ,Halo,Accion,599,2, transferencia ,Baja ,,INT-9152,usuario_tmp
VJ-00636,2026-03-23,sucursal norte,monterrey ,Norte,Xbox,Halo,estrategia ,0,,TARJETA,,revisar captura,INT-3832,usuario_tmp
VJ-00400,2026-05-09,Sucursal Norte,monterrey ,Centro, playstation ,Fortnite,ACCION,0,2,Efectivo,muy alta,,INT-7567,capturista1
VJ-00469,2026-06-08,sucursal centro , Ciudad de México , centro ,NINTENDO,Halo,Aventura,999,1,Efectivo,Muy Alta,,INT-1669,capturista1
VJ-00024,2026-03-10,sucursal centro , Ciudad de México ,occidente,Nintendo,Spider-Man,Deportes,,2, transferencia ,muy alta,revisar captura,INT-9465,capturista1
VJ-00465,2026-05-31,sucursal norte,CIUDAD DE MÉXICO,CENTRO,NINTENDO,FIFA,estrategia ,999,2,Transferencia,alta ,sin comentario,INT-6565,usuario_tmp
VJ-00334,2026-01-04,sucursal centro , Ciudad de México ,CENTRO,Nintendo,Zelda,DEPORTES,1799,4,Transferencia,baja,sin comentario,INT-5407,capturista1
VJ-00202,2026-01-14,SUCURSAL CENTRO, Ciudad de México ,Norte, playstation ,Zelda,ACCION,0,2,Tarjeta,,,INT-5673,admin
VJ-00418,2026-03-02,Sucursal Sur,monterrey ,norte , nintendo ,Minecraft,ACCION,,2,,,sin comentario,INT-6506,admin
VJ-00452,2026-04-10,Sucursal Norte,ciudad de mexico,Occidente,xbox,Fortnite,DEPORTES,799,2,efectivo ,,sin comentario,INT-5088,usuario_tmp
VJ-00524,2026-02-05,sucursal norte,Guadalajara,occidente, playstation ,Fortnite,Acción,999,1, transferencia ,Muy Alta,,INT-8281,capturista2
VJ-00368,2026-01-16,Sucursal Norte,CIUDAD DE MÉXICO,Occidente, pc ,Spider-Man,DEPORTES,799,1, transferencia ,muy alta,sin comentario,INT-6652,capturista2
VJ-00582,2026-01-09,Sucursal Centro,monterrey ,norte ,,God of War,ACCION,,1,Transferencia,Baja ,cliente frecuente,INT-8026,usuario_tmp
VJ-00588,2026-05-08,SUCURSAL CENTRO,ciudad de mexico,Norte,PC,Spider-Man, aventura ,,3,TARJETA,Baja ,sin comentario,INT-5769,usuario_tmp
VJ-00171,2026-05-20,Sucursal Sur,CDMX,CENTRO,Nintendo,Minecraft,Accion,1499,2,Tarjeta,Alta,cliente frecuente,INT-5063,usuario_tmp
VJ-00511,2026-04-25,Sucursal Centro,ciudad de mexico, centro ,PC,FIFA, aventura ,0,2,efectivo ,alta ,promoción,INT-2809,admin
VJ-00522,2026-01-27,Sucursal Sur,CDMX,Norte,PC,Fortnite,DEPORTES,799,3,Efectivo,Media,revisar captura,INT-4005,admin
VJ-00254,2026-01-01,Sucursal Centro,CIUDAD DE MÉXICO,norte ,PLAYSTATION,Halo, aventura ,,2,,Alta,sin comentario,INT-9573,capturista2
VJ-00142,2026-05-25,sucursal centro ,CIUDAD DE MÉXICO,occidente,PlayStation,FIFA,DEPORTES,599,1,tarjeta,Alta,sin comentario,INT-9560,usuario_tmp
VJ-00006,2026-02-16,Sucursal Sur,monterrey , centro ,Nintendo,Zelda,Accion,0,,Efectivo,,sin comentario,INT-4257,capturista1
VJ-00468,2026-06-10,Sucursal Norte,CDMX,Occidente,PlayStation,God of War,Estrategia,799,4,tarjeta,Media,revisar captura,INT-1575,admin
VJ-00526,2026-04-18,Sucursal Norte, Ciudad de México ,Occidente,PLAYSTATION,Zelda,estrategia ,1199,1,efectivo ,MEDIA,promoción,INT-6525,admin
VJ-00203,2026-05-01,sucursal centro ,GUADALAJARA, centro ,NINTENDO,Mario Kart,ACCION,,,efectivo ,Alta,cliente frecuente,INT-1200,capturista2
VJ-00635,2026-03-17,SUCURSAL CENTRO,ciudad de mexico,Occidente, nintendo ,Pokemon,estrategia ,,2, transferencia ,alta ,,INT-4896,capturista2
VJ-00140,2026-01-26,Sucursal Centro,CIUDAD DE MÉXICO,Occidente, pc ,Zelda,Acción,1799,,efectivo ,Alta,,INT-6300,capturista1
VJ-00645,2026-02-02,sucursal norte,GUADALAJARA,occidente, nintendo ,Mario Kart,Acción,599,2,Tarjeta,Alta,cliente frecuente,INT-9985,capturista2
VJ-00111,2026-05-14,Sucursal Sur,CDMX,occidente,Xbox,Minecraft,Aventura,,1,Efectivo,Baja ,revisar captura,INT-1048,usuario_tmp
VJ-00657,2026-06-20,Sucursal Centro,GUADALAJARA,CENTRO,Nintendo,Zelda,Accion,799,3,TARJETA,baja,sin comentario,INT-1339,usuario_tmp
VJ-00459,2026-06-30,sucursal norte,CIUDAD DE MÉXICO,occidente, XBOX ,Fortnite,ACCION,,3, transferencia ,baja,revisar captura,INT-2935,usuario_tmp
VJ-00035,2026-02-06,Sucursal Sur,GUADALAJARA,Norte,NINTENDO,Spider-Man,estrategia ,1199,,efectivo ,,revisar captura,INT-1686,admin
VJ-00387,2026-06-06,SUCURSAL CENTRO,Monterrey,occidente,xbox,Mario Kart,Acción,,2, transferencia ,MEDIA,cliente frecuente,INT-1810,usuario_tmp
VJ-00388,2026-02-02,sucursal norte,CDMX,CENTRO,Nintendo,God of War,Accion,,1,Efectivo,baja,revisar captura,INT-2236,admin
VJ-00365,2026-05-07,SUCURSAL CENTRO,Guadalajara, centro ,xbox,Spider-Man,Deportes,1499,4,Tarjeta,Muy Alta,cliente frecuente,INT-9769,capturista1
VJ-00125,2026-02-08,Sucursal Norte,Monterrey,CENTRO,PC,Minecraft,Estrategia,1799,4,Efectivo,muy alta,sin comentario,INT-4849,usuario_tmp
VJ-00498,2026-06-11,Sucursal Centro,monterrey ,Norte, nintendo ,Spider-Man,Accion,599,4,TARJETA,,,INT-3504,admin
VJ-00407,2026-02-10,Sucursal Sur,CIUDAD DE MÉXICO,occidente,Xbox,Spider-Man,estrategia ,0,3,Tarjeta,Media,promoción,INT-1116,capturista1
VJ-00408,2026-05-08,Sucursal Norte, Ciudad de México ,Centro,xbox,Call of Duty,Acción,0,1,TARJETA,,,INT-7822,admin
VJ-00167,2026-02-14,SUCURSAL CENTRO,GUADALAJARA,Norte,PlayStation,Zelda,ACCION,799,1,TARJETA,MEDIA,cliente frecuente,INT-6149,usuario_tmp
VJ-00460,2026-04-25,SUCURSAL CENTRO,Guadalajara,Centro, playstation ,Halo,estrategia ,1799,1,,Muy Alta,promoción,INT-5086,capturista1
VJ-00464,2026-02-20,Sucursal Centro,CIUDAD DE MÉXICO,Norte,Nintendo,God of War,Deportes,799,,Transferencia,,revisar captura,INT-2326,admin
VJ-00192,2026-05-14,SUCURSAL CENTRO,Monterrey, centro , pc ,Fortnite, aventura ,1199,1,Efectivo,muy alta,cliente frecuente,INT-1320,admin
VJ-00028,2026-01-06,Sucursal Norte,Guadalajara,Norte,Xbox,Halo,Accion,,2,tarjeta,alta ,revisar captura,INT-6326,usuario_tmp
VJ-00145,2026-02-08,Sucursal Norte,Guadalajara,Centro, XBOX ,Spider-Man,Accion,,1,Transferencia,baja,sin comentario,INT-1576,capturista1
VJ-00554,2026-05-12,SUCURSAL CENTRO,CIUDAD DE MÉXICO,occidente, pc ,Fortnite,DEPORTES,599,1,tarjeta,baja,,INT-6604,capturista2
VJ-00640,2026-03-28,Sucursal Sur,CIUDAD DE MÉXICO,Centro,PlayStation,Call of Duty,Aventura,799,1,Transferencia,baja,revisar captura,INT-6501,admin
VJ-00126,2026-03-28,sucursal norte,ciudad de mexico, centro , playstation ,FIFA,Accion,599,,,Alta,revisar captura,INT-9110,capturista2
VJ-00112,2026-01-30,sucursal centro ,Guadalajara, centro , XBOX ,Minecraft,Deportes,999,,efectivo ,Baja ,cliente frecuente,INT-4116,capturista1
VJ-00475,2026-03-30,SUCURSAL CENTRO,Monterrey,norte ,PLAYSTATION,God of War,ACCION,0,2, transferencia ,Muy Alta,revisar captura,INT-9335,capturista2
VJ-00598,2026-04-28,Sucursal Norte,CIUDAD DE MÉXICO,norte , playstation ,FIFA,Accion,0,3,,,cliente frecuente,INT-3616,capturista2
VJ-00046,2026-06-09,Sucursal Centro,CDMX,Norte,Nintendo,Fortnite,ACCION,0,3,efectivo ,MEDIA,revisar captura,INT-7465,capturista1
VJ-00318,2026-06-25,Sucursal Norte,GUADALAJARA,Centro, XBOX ,Mario Kart,Acción,799,2,TARJETA,alta ,sin comentario,INT-4134,capturista1
VJ-00133,2026-04-15,Sucursal Norte,ciudad de mexico,Centro, pc ,Mario Kart, aventura ,1799,1, transferencia ,,promoción,INT-6529,capturista1
VJ-00458,2026-01-25,Sucursal Norte,CIUDAD DE MÉXICO,Norte,Xbox,Minecraft,Deportes,1199,3,Tarjeta,MEDIA,promoción,INT-5683,capturista1
VJ-00378,2026-06-25,sucursal centro ,monterrey ,occidente, XBOX ,God of War, aventura ,,2,Tarjeta,,cliente frecuente,INT-9708,capturista2
VJ-00664,2026-01-15,sucursal norte,CDMX,occidente,PC,Mario Kart,Estrategia,1799,2,Efectivo,Muy Alta,cliente frecuente,INT-1479,capturista1
VJ-00449,,Sucursal Centro,,Occidente,PC,Halo,Acción,0,2,TARJETA,,,INT-4473,capturista1
VJ-00288,2026-02-12,SUCURSAL CENTRO,GUADALAJARA,Centro,PC,Call of Duty,Deportes,,, transferencia ,Alta,cliente frecuente,INT-2969,capturista1
VJ-00397,2026-06-16,SUCURSAL CENTRO,ciudad de mexico,Norte,PC,Minecraft,DEPORTES,1499,1,efectivo ,baja,,INT-9191,capturista2
VJ-00155,2026-01-27,SUCURSAL CENTRO,CDMX,norte , playstation ,Zelda,ACCION,,1,tarjeta,,sin comentario,INT-6322,usuario_tmp
VJ-00508,2026-04-18,Sucursal Centro,monterrey ,Norte,Xbox,Minecraft,Estrategia,1799,3,tarjeta,Alta,revisar captura,INT-4594,admin
VJ-00319,2026-03-17,Sucursal Centro,monterrey ,CENTRO,NINTENDO,Zelda,Accion,1799,3,tarjeta,Media,promoción,INT-7090,capturista1
VJ-00248,2026-02-17,Sucursal Norte, Ciudad de México ,CENTRO,,Call of Duty,Acción,,,efectivo ,Media,sin comentario,INT-5994,admin
VJ-00361,2026-03-12,sucursal centro ,monterrey , centro , pc ,Fortnite,Estrategia,1799,3,Tarjeta,Alta,cliente frecuente,INT-4865,capturista1
VJ-00488,2026-01-17,Sucursal Sur,CDMX,Norte, playstation ,Minecraft,Estrategia,1199,2,Efectivo,,,INT-7300,capturista1
VJ-00418,2026-03-02,Sucursal Sur,monterrey ,norte , nintendo ,Minecraft,ACCION,,2,,,sin comentario,INT-6506,admin
VJ-00443,2026-06-30,SUCURSAL CENTRO,GUADALAJARA, centro , XBOX ,Halo,Aventura,,2,Efectivo,Baja ,promoción,INT-2833,usuario_tmp
VJ-00245,2026-03-16,Sucursal Centro,CDMX,Occidente, pc ,FIFA,Accion,599,4,Transferencia,MEDIA,sin comentario,INT-4724,usuario_tmp
VJ-00232,2026-04-02,Sucursal Centro,CDMX,CENTRO, XBOX ,Call of Duty,Aventura,1799,2,TARJETA,muy alta,sin comentario,INT-5242,capturista1
VJ-00502,2026-05-20,Sucursal Sur,CDMX,Occidente,PLAYSTATION,Halo,Estrategia,1499,2,tarjeta,Muy Alta,promoción,INT-6726,admin
VJ-00637,2026-01-06,sucursal norte,monterrey ,occidente, pc ,Halo,Acción,799,2,Transferencia,Media,revisar captura,INT-8926,usuario_tmp
VJ-00021,2026-05-13,Sucursal Centro,CDMX,Centro,Xbox,Pokemon,Aventura,599,1,TARJETA,Baja ,sin comentario,INT-7245,capturista2
VJ-00650,2026-05-31,sucursal centro ,GUADALAJARA,Occidente, playstation ,Fortnite,Deportes,1799,2, transferencia ,,,INT-3127,admin
VJ-00350,2026-01-14,Sucursal Centro,,CENTRO,NINTENDO,Mario Kart,estrategia ,1499,1,Tarjeta,Muy Alta,,INT-6869,usuario_tmp
VJ-00218,2026-06-10,SUCURSAL CENTRO, Ciudad de México ,CENTRO, nintendo ,Pokemon, aventura ,1199,1,TARJETA,Muy Alta,,INT-7261,capturista2
VJ-00646,2026-04-05,Sucursal Norte,CIUDAD DE MÉXICO,Centro,,Zelda,Aventura,0,3,Efectivo,alta ,cliente frecuente,INT-3810,capturista2
VJ-00325,2026-05-27,Sucursal Norte,ciudad de mexico,Norte, XBOX ,Spider-Man,Acción,999,1,,Muy Alta,promoción,INT-6809,capturista1
VJ-00172,2026-03-07,Sucursal Centro,Guadalajara,CENTRO,PC,Halo,Acción,,4, transferencia ,MEDIA,sin comentario,INT-9123,capturista1
VJ-00269,2026-06-12,SUCURSAL CENTRO, Ciudad de México ,occidente,xbox,Fortnite,Deportes,1199,,,MEDIA,sin comentario,INT-2208,usuario_tmp
VJ-00510,2026-05-22,sucursal centro ,GUADALAJARA,Occidente, XBOX ,Halo, aventura ,1799,3,efectivo ,Alta,,INT-6754,usuario_tmp
VJ-00314,2026-02-19,SUCURSAL CENTRO,monterrey ,Norte,PC,FIFA,Estrategia,1799,2,TARJETA,baja,promoción,INT-3966,capturista1
VJ-00610,2026-06-28,Sucursal Centro,GUADALAJARA, centro ,Xbox,Spider-Man, aventura ,799,,Transferencia,Muy Alta,revisar captura,INT-8941,capturista2
VJ-00602,2026-04-28,sucursal norte,CDMX,occidente, nintendo ,Halo,Acción,,,tarjeta,Muy Alta,revisar captura,INT-1441,usuario_tmp
VJ-00562,2026-02-15,Sucursal Sur, Ciudad de México ,occidente,PlayStation,Pokemon,Acción,999,1,,alta ,sin comentario,INT-2879,capturista1
VJ-00306,2026-04-14,sucursal norte,ciudad de mexico,Centro,Nintendo,Spider-Man,Aventura,1799,1,efectivo ,Media,promoción,INT-5833,usuario_tmp
VJ-00606,2026-02-14,Sucursal Sur, Ciudad de México ,Norte,xbox,Zelda,Accion,1199,1,tarjeta,Muy Alta,promoción,INT-2842,usuario_tmp
VJ-00662,2026-04-08,sucursal centro ,CDMX,Centro, XBOX ,Minecraft,Acción,1499,,tarjeta,muy alta,promoción,INT-8898,admin
VJ-00613,2026-06-11,sucursal centro ,monterrey ,Norte, pc ,Mario Kart,Estrategia,1199,1, transferencia ,baja,sin comentario,INT-2634,usuario_tmp
VJ-00399,2026-04-26,Sucursal Sur,Monterrey,norte ,PC,Mario Kart,Estrategia,1199,1,TARJETA,Baja ,sin comentario,INT-5253,capturista1
VJ-00384,2026-06-27,sucursal norte,GUADALAJARA,Norte,,God of War,DEPORTES,1499,2, transferencia ,Muy Alta,,INT-9730,capturista1
VJ-00037,2026-03-27,Sucursal Sur,CIUDAD DE MÉXICO,occidente,xbox,God of War,Aventura,999,,TARJETA,alta ,revisar captura,INT-7252,usuario_tmp
VJ-00108,2026-05-11,SUCURSAL CENTRO,Guadalajara,norte , nintendo ,FIFA,Estrategia,799,3,efectivo ,Baja ,promoción,INT-1389,capturista2
VJ-00071,2026-03-03,sucursal centro ,CDMX,,,Zelda, aventura ,1799,1,TARJETA,muy alta,,INT-9069,admin
VJ-00293,2026-02-01,Sucursal Sur,ciudad de mexico, centro , pc ,Minecraft,ACCION,799,3,TARJETA,Alta,promoción,INT-9117,capturista1
